SINIF,YORUM
Flood,Runoff from repeated rains caused minor flooding of agricultural land along the Big Sioux River. The river reached a peak stage 1.6 feet above flood stage at Akron on the Iowa side of the river at the end of the month.
Thunderstorm Wind,Winds damaged a Home Depot and caused roof damage to a storage unit.
Thunderstorm Wind,No damage was reported.
Hail,
Hail,
Thunderstorm Wind,No damage was reported.
Thunderstorm Wind,Some trees were downed near town. Also a barn sustained heavy damage.
Thunderstorm Wind,Front door and windows of a house were blown in. A green house sustained structural damage. A roof was partially blown off a barn.
High Wind,Gradient winds produced by an exiting low pressure system to the northeast
Lightning,Lightning struck a home causing a significant fire. The fire department reported the home as a total loss. Two people escaped the fire unharmed.
Tornado,A tornado briefly touched down on the sand right along Fort Lauderdale Beach near the 600 block of Seabreeze Boulevard/A1A. The tornado flipped a few small boats and kayaks stored along the beach
Tornado,This tornado grew into a monster wedge within a minute.  It initially moved west and then meandered before finally turning north into Wichita County at 19:17 CST.  It eventually turned east and out of Wichita County and into Scott County at 19:36 CST.
Hail,
Hail,
Hail,Dime size hail fell in the West Lake area just east of El Dorado.
Hail,Golf ball size hail began falling in Dickens around 1717 CST and for the next 13 minutes proceeded to grow to tennis ball size resulting in extensive damage to cars.  Many trees were stripped of their leaves and some homes would likely require new roofs.
Flash Flood,Water was covering Peoples Street.
High Wind,Limbs were blown onto power lines
Winter Weather,
Winter Weather,
Winter Weather,
Thunderstorm Wind,Numerous trees were downed and across Mac Arthur Drive in Glens Falls due to thunderstorm winds.
Thunderstorm Wind,Two large pine trees fell on Lexington Avenue in Glens Falls due to thunderstorm winds. One of the trees fell on a home
Strong Wind,
Strong Wind,
Strong Wind,
Hail,Hail was mostly dime size
Hail,
Hail,
Winter Weather,One to two inches of snow and less than 0.10 inches of ice accumulation during this storm.
Winter Weather,One to three inches of snow and less than 0.10 inches of ice accumulation during this storm.
Winter Weather,One to three inches of snow and 0.10-0.25 inches of ice accumulation during this storm.
Winter Weather,One to two inches of snow and 0.05-0.20 inches of ice accumulation during this storm.
Flash Flood,Heavy rain resulted in flooded streets around the Beaumont area. All underpasses in the city were flooded and closed. Poorly drained roadways like MLK Boulevard near Lamar University was also flooded.
Flash Flood,Heavy rain across north and west portions of Orange County produced street flooding. This closed some streets in the Vidor area.
Coastal Flood,A strong onshore flow kept tides above normal for multiple cycles. The tide level peaked at 3.4 MLLW during the morning of the 10th at Sabine Pass.
Hail,Nickel and dime size hail occurred in in Mamou.
Hail,Half dollar size hail occurred in Sharp.
Winter Storm,Several trained observers reported 8 to 12 inches of snow in a 9 hour period.
Winter Storm,Several trained observers reported 8 to 12 inches of snow in a 9 hour period.
Winter Storm,Nine inches of snow was measured 19 miles south of Rock River.
Winter Storm,A foot of snow was measured at Buford.
Winter Storm,Thirteen inches of snow was measured 21 miles west-southwest of Cheyenne.
Winter Storm,The Divide Peak SNOTEL site (elevation 8880 ft) estimated 12 inches of snow.
Winter Storm,The Battle Mountain SNOTEL site (elevation 7440 ft) estimated 12 inches of snow.
Winter Storm,The Old Battle SNOTEL site (elevation 10000 ft) estimated 16.5 inches of snow.
Winter Storm,The Tony Grove Lake SNOTEL received 2.70 inches of liquid equivalent precipitation
Winter Weather,Snowfall totals were generally between 1 inch and 2 inches across the county. Glen Allen (5 W) reported 1.1 inches of snow.
Winter Weather,Snowfall totals were generally between 1 inch and 3 inches across the county. Cumnor (1 WNW) reported 2.5 inches of snow. Shacklefords reported 2.0 inches of snow.
Hail,Hail to the size of golf balls was reported. The time was estimated based on radar data.
Strong Wind,Strong and persistent gradient winds toppled a tree onto a man that was cleaning up debris in his yard on Gilchrist Road. The man was transported to the hospital and later died of his injuries.
Thunderstorm Wind,A 64 mph wind gust was measured by the KVII Schoolnet site at Wonderland Park.
Thunderstorm Wind,A 59 mph wind gust was measured by the KVII Schoolnet site located at Rolling Hills Elementary School.
Thunderstorm Wind,Windows were blown out of a mobile home and a shed was damaged. Trees were also blown down on Griffin Spur Road just east northeast of Bentonia.
Winter Storm,The public and trained spotters reported snowfall ranging from 11 to 21 inches.
Blizzard,MacArthur Airport and nearby Republic Airport ASOS observations showed blizzard conditions
Winter Storm,Trained spotters and the public reported snowfall of 16 to 17 inches.
Winter Storm,Snowfall amounts between 7 to 6 inches were observed across several locations in the county. The highest accumulation was in the Meadows of Dan area where 5.5 inches was measured. Significant freezing rain reports of a quarter inch of ice or greater were also received with the highest amount being four tenths of an inch of ice near Buffalo Ridge. Moderate post frontal winds caused multiple ice covered power lines to fall. Appalachian Power reported as of 10:45 Tuesday morning that 1
Winter Storm,Snowfall amounts between 8 to 11 inches were observed across several locations in the county. The highest accumulation was in the Elliston area where 10.2 inches was measured. Small amounts of sleet and freezing rain were also observed with this storm. 919 customers lost power as a result of this storm.
Hail,
Hail,Dime sized hail occurred in southeast Neshoba County.
Hail,Penny to quarter sized hail occurred from just west of Indianola into town.
Hail,Penny to quarter sized hail occurred along Highway 82 by the lake.
Flash Flood,Water rescues and evacuations occurred across the city due to flood waters. Several roads were flooded.
Flash Flood,Eight streets were closed due to flooding in the city of Hattiesburg.
Flash Flood,Water entered a home along Navajo Circle.
Hail,
Thunderstorm Wind,Several trees were blown down in the Deerfield Community.
Winter Storm,Six inches of snow was measured at the Grand Teton National Park headquarters at Moose.
Thunderstorm Wind,A utility pole was broken along AJ Stephens Road.
Hail,
Drought,The Household Water Supply Shortage Reporting System indicated there were some homes without well water due to dry wells
Hail,Golf ball sized hail fell along U.S. Highway 18 west of New Hampton.
Winter Storm,Snowfall amounts between 5 to 11 inches were observed across several locations in the county. The highest accumulation was in the Bluefield area where 11 inches was measured. Small amounts of sleet and freezing rain were also observed with this storm.
Winter Storm,Snowfall amounts between 7 to 9 inches were observed across several locations in the county. The highest accumulation was in the Jumping Branch area where 9 inches was measured. Small amounts of sleet and freezing rain were also observed with this storm.
Thunderstorm Wind,A semi truck was blown over south of Monona near the intersection of U.S. Highway 52 and State Highway 13.
Flash Flood,The emergency manager reported several roads in the county were blocked due to flooding from the heavy rain.
Hail,
Flash Flood,The emergency manager reported several roads throughout the county are blocked due to flooding from the heavy rain event.
Hail,Hail up to the size of golf balls covered the ground.
Hail,
Thunderstorm Wind,The ASOS at the Quad City Airport measured a 59 knot wind gust.
Tornado,An EF-2 tornado tracked north then curved to the east through upper Rock Island county.  An estimated 40 homes were damaged with the most severe damage to a neighborhood in rural East Moline where 10 homes were completely destroyed.  Ten people reported minor injuries.  The maximum wind with this tornado were estimated at  130 mph.
Tornado,A tornado touched down 2.4 miles west of Curran along Werner Road about three quarters of a mile west of the intersection with Farmingdale Road at 7:44 PM CDT.  The roof of a home lost some shingles and a few pine trees were broken off in this area.  The tornado tracked across mainly open fields and crossed I-72 just east of Farmingdale Road at 7:45 PM CDT.  The tornado continued northeastward and damaged a house along Bunker Hill Road
Flash Flood,Roads were flooded in Greenwood which included US Highway 82.
Hail,
Hail,
Hail,
Thunderstorm Wind,Emergency management officials reported just over a half dozen trees being blown down.
Thunderstorm Wind,Emergency management officials reported trees down in Albion
Winter Storm,There was 10 to 18 inches of snow measured above 4000 feet.
Tornado,This tornado moved almost due north.
Flash Flood,Heavy rain caused Watsons Creek to go out of its banks and over Addison Ave. north of Riceville.
Flash Flood,Heavy rain caused the Little Cedar River to go out of its banks and over State Highway 9 east of Osage.
Flash Flood,Heavy rain caused flash flooding across Carroll County. Mt. Zion Church Road was flooded just east of Huntingdon. About a dozen other county roads were also flooded. Highways 219
Flood,Over 8 inches of rain fell along the Wolf River Basin from late on March 8th through the afternoon on March 10th. This caused flooding along the Wolf River in Eastern Shelby County. Farmland in Shelby Farms was flooded along with the Greenway along the Wolf River. Farm Road was closed in Shelby Farms. Another 3 inches of rain fell on March 12th and 13th which prolonged the flooding.
Flood,Several roads were flooded due to persistent moderate to heavy rainfall.  In addition
Flood,A picture was submitted showing portion of Carter Way Road washed out due to persistent moderate to heavy rainfall.  Damage was estimated.
Heavy Rain,A traffic accident caused by hydroplaning resulted in two deaths and one injury in Miller county on Highway 91 between Colquitt and Newton.
Flood,The Worth County E-911 facebook page reported that Hall Rd at Davis Mill Rd as well as Hamilton Hill Rd between Cuffie Town Rd and Jody Hoby Rd were washed out.  Damage was estimated.
Thunderstorm Wind,Trees and power lines were blown down on Seaboard Avenue and Timuquana Road. The time of damage was based on radar. Cost of damage was estimated.
Thunderstorm Wind,Power lines were blown down an blocking the roadway near the 7800 block of La Trec Drive. The time of damage was based on radar. Cost of damage estimated.
Hail,A picture of nickel size hail that fell at the St. Mark's Cathedral School was posted to the National Weather Service Shreveport office Facebook page.
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Hail,Golf ball size hail fell from Bremen eastward to the Green River
Thunderstorm Wind,Emergency management estimated 60 mph winds but no damage was reported.
Hail,There were multiple reports of large hail up to 2 inch in diameter. Numerous cars were damaged with dents and broken car windows in the area. There were reports of siding damage to a church and some homes due to the hail. There were multiple pictures of the large hail on social media. This storm report will include the total estimated damage cost for the entire county with this event.
Flash Flood,Numerous roads were flooded and closed in Lindale.
Tornado,This is a continuation of the EF-1 tornado from Northwest Columbia County
Hail,Winds also estimated to be 30-40 mph.
Thunderstorm Wind,Five inch diameter maple tree limb blown down.
Hail,Quarter size hail reported by Emergency Manager.
Hail,
Hail,Covering the ground.
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
Flash Flood,W. Harry was flooded with reports of vehicles stranded.
Flash Flood,The E. 9th St./N. Emporia Intersection was flooded.
Flash Flood,Flooding occurred around the 183rd W./71st St. S. Intersection.
Hail,The report was received from KAKE Channel 10.
Thunderstorm Wind,No damage was reported.
Thunderstorm Wind,No damage was reported.
Thunderstorm Wind,No damage was reported.
Thunderstorm Wind,A 10-inch diameter limb was reported downed across Main St. in Benton.
Thunderstorm Wind,A tree was blown down across Woods Ferry Road in Gallatin.
Thunderstorm Wind,A #tSpotter Twitter report indicated a tree was blown down near the intersection of Saundersville Road and Nonaville Road.
Thunderstorm Wind,A tree was blown down on Defeated Creek Road.
Thunderstorm Wind,A #tSpotter Twitter report indicated a tree was blown down in Carthage on Jefferson Avenue.
Thunderstorm Wind,Numerous trees were blown down all across Clay County with numerous roads blocked.
Hail,A trained spotter reported hail covering highway 2 near Newport
Marine Thunderstorm Wind,FSKM2 reported gusts of around 42 knots.
Marine Thunderstorm Wind,SLIM2 reported gusts of around 37 knots.
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Thunderstorm Wind,A thunderstorm moved across Howard County and produced wind damage near Elbow.  A mobile home was moved off its foundation
Hail,
Hail,
Hail,
Hail,
Hail,
Thunderstorm Wind,Large tree was downed and fell on an outbuilding.
Heavy Snow,Six to seven inches of snow fell across southern Plymouth County.
Winter Weather,Four to five inches of snow fell across Suffolk County.
Winter Weather,Four to six inches of snow fell across northern Worcester County.
Winter Weather,Four to six inches of snow fell across southern Worcester County.
Heavy Snow,Seven to eight inches of snow fell across Bristol County.
Heavy Snow,Six to seven inches of snow fell across western Kent County.
Heavy Snow,Five to seven inches of snow fell across eastern Kent County.
Thunderstorm Wind,A few trees were reported down in the Oldfort community.
Hail,
Thunderstorm Wind,Strong thunderstorm wind blew down large tree limbs.
Thunderstorm Wind,A few four to six inch diameter tree branches were blown down in shelterbelts across northern Knox Township.
Marine Thunderstorm Wind,Pilots Station CMAN station PSTL1 reported a 40 knot wind gust during a thunderstorm.
Marine Thunderstorm Wind,Southwest Pass CMAN station BURL1 reported a 37 knot wind gust during a thunderstorm.
Marine Thunderstorm Wind,Pilottown CMAN station PILL1 reported a 35 knot wind gust during a thunderstorm.
Marine Thunderstorm Wind,Main Pass Block 289C AWOS platform KVKY reported a 35 knot wind gust during a thunderstorm.
Hail,Quarter size hail was reported in the Orange Grove area of Gulfport. Dime size hail was also reported around 610 am.
Hail,Dime size hail was reported in the Orange Grove area of Gulfport. Event time estimated.
Hail,Event time estimated from radar.
Winter Weather,The L'anse Fire Department measured six inches of lake effect snow in eight hours.
Winter Weather,Observers and spotters near Grand Marais measured five to six inches of lake effect snow in eight hours.
Winter Weather,The spotter five miles north of Pine Stump Junction measured 4.5 inches of lake effect snow in 12 hours.
Winter Weather,There was a report via social media of an estimated four inches of lake effect snow in five hours.  North winds gusting over 25 mph also caused blowing and drifting of snow and reduced visibility at times.
Winter Weather,The spotter in Ironwood measured four inches of snow in 12 hours.
Winter Weather,The observer in Amasa measured four inches of snow in 12 hours.
Winter Weather,There was a public report of five inches of snow in seven hours at Cooks.
Flood,Runoff from repeated rains caused minor to moderate flooding of the Vermillion River during the last three days of April. Agricultural land along the river and a few county roads were flooded. The river reached a peak stage of 2.42 feet above flood stage at Wakonda at the end of the month.
High Wind,
High Wind,
High Wind,
High Wind,
High Wind,The St Johns Airport ASOS measured a peak wind gust of 62 MPH at 438 PM.  The winds gusted over 55 MPH between around 300 PM MST and 530 PM. An observer 8 miles southwest of Concho reported a peak wind gust of 58 MPH.
High Wind,The Winslow Airport just east of the zone boundary had a peak wind gust of 61 MPH at 159 PM MST.
High Wind,The RAWS in Kykotsmovi Village reported a peak wind gust of 58 MPH.
High Wind,The RAWS in Kykotsmovi Village just south of the zone boundary reported a peak wind gust of 58 MPH.
Thunderstorm Wind,No damage was reported.
Thunderstorm Wind,A garage was totaled.
Thunderstorm Wind,Power lines were downed.
Thunderstorm Wind,A roof was blown off a barn and a large tree was blown down.
Thunderstorm Wind,Winds caused some roof damage.
Thunderstorm Wind,No damage was reported.
Thunderstorm Wind,No damage was reported.
High Wind,Gradient winds produced by an exiting low pressure system to the northeast
Hail,
Thunderstorm Wind,Numerous ash trees were knocked down.
Tornado,This weak tornado crossed into a forested area of Muhlenberg County from Christian County. Several tree tops were snapped
Thunderstorm Wind,Public reported damage to a metal roof on a horse barn and damage to the underpinning beneath a mobile home. Dime to nickel size hail that covered the porch and dusted the ground.
Thunderstorm Wind,A tree was blown down on Highway 12 north of Bristol.
Hail,Golf ball size hail was reported one to two miles west of South Hill.
Hail,A storm chaser estimated tennis ball size hail north of Guthrie on US Highway 83.  Damage was not reported.
Tornado,An EF-0 tornado touched down near the intersection of County Road 294 and Highway 82 east of Magnolia
Winter Weather,
Winter Weather,
Hail,
Hail,
Thunderstorm Wind,A tree was downed at the Central Park Rose Garden in Schenectady due to thunderstorm winds.
Thunderstorm Wind,A National Weather Service team investigated storm damage in Rotterdam Junction.  The team determined that the damage was caused by a microburst.  Most of the damage was to downed trees
Marine Thunderstorm Wind,Pilots Station East at Southwest Pass CMAN station PSTL1 reported a 34 knot wind gust during a thunderstorm.
Strong Wind,
Strong Wind,
Strong Wind,
Hail,
Hail,
Hail,
Hail,
Winter Weather,Around one inch of snow and less than 0.10 inches of ice accumulation during this storm.
Winter Weather,Around one inch of snow and less than 0.10 inches of ice accumulation during this storm.
Winter Weather,Around one inch of snow and less than 0.10 inches of ice accumulation during this storm.
Winter Weather,Around one inch of snow and 0.05-0.20 inches of ice accumulation during this storm.
Coastal Flood,A strong onshore flow pushed the tide above 3 feet MLLW for one tide cycle before a cold front pushed through the region. The tide peaked out at 3.54 MLLW late in the evening of the 30th.
Coastal Flood,A strong onshore flow pushed the tide above 3 feet MLLW for one tide cycle before a cold front pushed through the region. The tide peaked out at 3.54 MLLW late in the evening of the 30th.
Coastal Flood,The tide level at Freshwater Lock pushed above 3 feet MLLW during the evening of the 30th and fell during the morning of the 31st behind a cold front. The tide peaked at 4.81 MLLW shortly before midnight on the 30th.
Flood,Heavy rain from the 9th and 10th pushed the Neches River into flood. Several structures were flooded along the river between Silsbee and Evadale.
Flood,Heavy rain during the 9th and 10th caused the Neches River to flood portions of Southwest Jasper County. Around 25 structures were flooded during the event.
Lightning,Lightning that struck and knocked over a power pole in Freeport caused power outages throughout the city.
Marine Thunderstorm Wind,Wind gust was measured at WeatherFlow site XMGB.
Winter Storm,Several trained observers reported 8 to 12 inches of snow in a 9 hour period.
Winter Storm,Several trained observers reported 8 to 12 inches of snow in a 9 hour period.
Thunderstorm Wind,A wind gust of 59 mph was measured by the automated weather observing equipment at the Oelwein airport.
Hail,Quarter sized hail fell near Melrose.
Lightning,A house was damaged by a fire started from a lightning strike. Lightning hit propane tanks outside of the house
Thunderstorm Wind,Wind damage occurred at a farm between Ontario and Hillsboro breaking large branches off trees and flipping trailers.
Thunderstorm Wind,Trees were blown down in Westboro.
Winter Storm,The Webber Springs SNOTEL site (elevation 9250 ft) estimated 19.5 inches of snow.
Winter Weather,Snowfall totals were generally between 1 inch and 2 inches across the county. Slaterville (3 SSW) reported 1.0 inch of snow.
Strong Wind,Strong and persistent gradient winds caused damage to a roof on Turnberry Road.
Winter Weather,Snowfall totals were generally between 2 inches and 4 inches across the county. Salvia reported 3.1 inches of snow.
Winter Weather,Snowfall totals were generally between 1 inch and 2 inches across the county.
Winter Weather,Snowfall totals were generally between 2 inches and 4 inches across the county. Central Garage (1 WSW) reported 2.5 inches of snow.
Winter Weather,Snowfall totals were generally between 1 inch and 3 inches across the county. Brink (2 ESE) reported 2.0 inches of snow. Purdy reported 1.0 inch of snow.
Thunderstorm Wind,A 58 mph wind gust was measured at a KVII Schoolnet site.
Thunderstorm Wind,A 61 mph wind gust was measured at the West Texas Mesonet site located near Panhandle.
Winter Storm,Orange County was on the sharp northern edge of the storm
Winter Storm,Trained spotters and an NWS cooperative weather observer in Carmel reported snowfall ranging from 8 to 14 inches.
Winter Storm,The public and trained spotters reported snowfall ranging from 20 to 30 inches. Also
Drought,The Household Water Supply Shortage Reporting System indicated there were some homes without well water due to dry wells
Winter Storm,Snowfall amounts between 8 to 11 inches were observed across several locations in the county. The highest accumulation was in the Pearisburg area where 11 inches was measured. Small amounts of sleet and freezing rain were also observed with this storm.
Drought,Persistent drought conditions continued to be reported.
Flood,There was some flooding on the Mississippi State Campus on Blackjack Road and Hardy Road. There was also some flooding on some roads in Downtown Starkville.
Hail,Golf ball sized hail occurred off of Highway 491 near House.
Thunderstorm Wind,A large tree was blown down across Highway 19.
Thunderstorm Wind,A tree was blown down at the Natchez Trace Parkway and Mississippi Highway 43.
Hail,Golf Ball sized hail occurred in Baskin.
Thunderstorm Wind,Multiple trees and power lines were blown down in the area.
Flash Flood,Two streets were flooded in Union.
Flash Flood,Numerous roads were flooded and water entered homes in Itta Bena and other parts of Leflore County.
Flash Flood,Numerous streets around the city flooded including the intersection of Highway 82 and Strong Avenue. One house was flooded on Williamson Street. Six to eight inches of water was across US Highway 82 near the Yazoo River Bridge.
Hail,Photos from Buhl showed several large stones.
Heavy Snow,
Heavy Snow,
Heavy Snow,
Hail,Dime size hail fell for 10 minutes.
Hail,
Hail,
Hail,Hail up to the size of quarters covered the ground. The hail lasted about 10 minutes.
Hail,
Hail,Time was estimated by radar.
Hail,
Hail,
Tornado,A tornado touched down 4 miles northwest of Peoria just northwest of the intersection of Richwoods Boulevard and Molleck Drive at 8:05 PM CDT.  Damage was done to the roof
Tornado,There was brief circulation at the surface for a little less than a minute.
Tornado,This tornado touched down near Talowah Rd where it uprooted a couple of trees and caused some minor roof damage to a home. The tornado continued east northeast uprooting a few trees and causing roof damage to an elementary school. The tornado continued east northeast across Mitchell Ave where a tree fell on a house. The tornado ended near Stonefield Drive snapping a few more trees and causing roof damage to a home. The maximum estimated winds were 95 mph.
Tornado,Indications of rotation were found on the northwest flank of a swath of microburst winds. The tornado appears to have touched down near a residence on East County Road 400 North
Thunderstorm Wind,Emergency management officials reported a small barn was pushed over and destroyed. A nearby tree was snapped and home suffered some minor gutter damage.
Thunderstorm Wind,Emergency management officials reported pockets of damage at a residence from straight line winds. West facing barn doors were pushed in
Tornado,Family took shelter in an underground unit and was able to survive.  The modular home was completely destroyed.  Two vehicles were thrown about 150 yards.  Another truck was carried
Tornado,This was a brief and intermittent tornado under a second meso-cyclone that was east/northeast of the first tornado in southern Ford county.
Tornado,This was a brief tornado.
Tornado,Another tornado observed from the cyclic supercell.
Flash Flood,Heavy rain resulted in flash flooding across Gibson County. At least a dozen roads were flooded.
Flood,Heavy rain over the previous two days caused flooding in Mason. Multiple water rescues by boat occurred in Mason. Main Street on the south side of Mason was closed due to flooding. Three other roads were also flooded.
Flash Flood,An agricultural levee broke near the Rutherford Fork of the Obion River. This affected eastern sections of Kenton where 20 houses were evacuated.
Heavy Rain,
Heavy Rain,
Thunderstorm Wind,Microburst winds removed a large portion of the roof and porch of a modular home. Eight trees were also blown down or severely damaged.
Hail,
Thunderstorm Wind,The most significant damage occurred to a church in the central part of Davis
Thunderstorm Wind,Two trees downed by winds.
Hail,Quarter size hail fell and covered the ground in the Rocky Branch community.
Thunderstorm Wind,Straight line winds downed a few trees and caused the brick facade to fall off a building in Liberal.
Thunderstorm Wind,Emergency management estimated winds up to 60 mph but no damage was reported.
Tornado,A NWS storm survey revealed that an EF-0 tornado damaged a few homes on the southwest side of Springfield in the town of Battlefield. There was damage to roofs
Thunderstorm Wind,There was minor tree damage with large limbs blown down and windows broken on a house on Royal Vista.
Thunderstorm Wind,A storm survey determined that straight line winds uprooted numerous trees and caused minor damage to several homes on Point Seven Peninsula. Some homes had west facing windows blown out.
Thunderstorm Wind,Several trees were blown down near downtown Hollister and near the College of the Ozarks. Two homes sustained significant damage from falling trees. Survey crews estimated the winds around 75 mph.
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Strong Wind,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Dense Fog,
Flash Flood,Numerous roads were flooded throughout Wood County.
Tornado,An EF-1 tornado with estimated winds around 95 mph briefly touched down just southwest of Highway 371 south of the intersection with County Road 60 in Northern Columbia County. The tornado crossed Highway 371
Hail,
Hail,
Hail,Half-dollar size hail reported by Emergency Manager.
Hail,
Hail,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
High Surf,
Hail,The hail occurred near the Kellogg/135th W Intersection and ranged from quarter to half dollar-sized.
Hail,The off-duty NWS employee measured the hail near the NW 21st/W 119th Intersection. No damage was reported.
Hail,A picture of the hail was sent on Face Book
Hail,The hail ranged from quarter to golf ball-sized.
Thunderstorm Wind,No damage was reported.
Thunderstorm Wind,Speeds ranged from 50 to 60 mph and occurred with pea-sized hail on the north side of Independence.
Thunderstorm Wind,No damage was reported.
Thunderstorm Wind,A tractor trailer was overturned on the north side of town.
Marine Thunderstorm Wind,BISM2 reported gusts of around 35 knots.
Marine Thunderstorm Wind,ARLNN reported gusts around 48 knots.
Marine Thunderstorm Wind,KDCA reported gusts around 51 knots.
Marine Thunderstorm Wind,Buoy 44062 reported gusts between 33 and 35 knots.
Marine Thunderstorm Wind,BWH reported gusts around 40 knots.
Marine Thunderstorm Wind,BISM2 reported gusts between 31 and 35 knots.
Marine Thunderstorm Wind,KNAK reported gusts around 36 knots.
Marine Thunderstorm Wind,TOL reported gusts between 31 and 52 knots.
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Frost/Freeze,
Hail,
Tornado,A thunderstorm moved across Pecos County and produced a tornado about 25 miles south southeast of Fort Stockton
Hail,
Hail,
Hail,A thunderstorm moved across Scurry County and produced one inch hail about ten miles northeast of Snyder.  The hail left dents on a vehicle and horse trailer.  There were numerous leaves off of the trees.  The cost of damage is a very rough estimate.
Heavy Snow,Four to seven inches of snow fell across northwestern Providence County.
Heavy Snow,Five to eight inches of snow fell across southeastern Providence County.
Winter Weather,Three to six inches of snow fell across Washington County.
Strong Wind,A tree and branches were downed on Paris Iron Road in Glocester.  In Woonsocket
Strong Wind,A 24-30 inch diameter tree was downed by strong winds onto wires on Russwin Road in New Britain.
Heavy Snow,Snowfall amounts of 5 to 10 inches were measured across the area.
Winter Weather,Snowfall amounts of 3 to 8 inches were measured across the area.
Coastal Flood,Minor to moderate flooding was reported in coastal Westport
Heavy Snow,Snowfall ranged from 3 to 5 inches across the county.
Heavy Snow,Snowfall ranged from 6 to 7 inches across the county.  Some freezing rain and sleet also mixed in but amounts were inconsequential.
Heavy Snow,Snowfall ranged from 3 to 5 inches across the county.
Heavy Snow,Snowfall ranged from 5 to 7 inches across the county.  Some freezing rain and sleet also mixed in but amounts were inconsequential.
Winter Storm,Snowfall amounts between 5 to 7 inches were observed across several locations in the county. The highest accumulation was in the Covington area where 7 inches was measured. Strong winds after the storm caused 414 power outages in the county.
Winter Storm,Snowfall amounts between 7 to 9 inches were observed across several locations in the county. The highest accumulation was in the Springwood area where 9 inches was measured.
Tornado,A tornado touched down 2 miles northwest of Trivoli just west of Quarry Road at 7:42 PM CDT.  A garage and house roofs were damaged
Hail,
Thunderstorm Wind,Trees were blown down on the west side of Black River Falls. One of these trees landed on a car.
Hail,
Hail,
Hail,
Hail,
Hail,The hail covered the ground.
Hail,Quarter to half dollar size hail was observed by a retired Naval meteorologist in St. Martin.
Marine Thunderstorm Wind,A 38 knot wind gust was reported at Lakefront Airport during a thunderstorm.
Marine Thunderstorm Wind,A 62 knot wind gust was reported on an elevated platform via Spotter Network.
Marine Thunderstorm Wind,Main Pass Block 289C AWOS station KVKY reported a 41 knot wind gust during a thunderstorm.
Marine Thunderstorm Wind,Main Pass Block 140 AWOS station KMIS reported a 47 knot wind gust during a thunderstorm.
Marine Thunderstorm Wind,Main Pass Block 140 AWOS station KMIS reported a 38 knot wind gust during a thunderstorm.
Winter Weather,There was a public report via social media of an estimated six to seven inches of snow near Bruce Crossing.
Winter Weather,There was a public report via social media of an estimated six inches of snow near Nisula.
Winter Weather,The observer in Munising measured 3.5 inches of snow in less than eight hours.
Winter Weather,There was a public report of three inches of snow in 12 hours at Baraga.
Dense Fog,Newport Beach lifeguards reported visibility as low as 1/8th of a mile.
Strong Wind,The Emergency Manager for the City of Indio reported strong winds at the Coachella Music Festival. The winds displaced numerous tents
High Wind,Strong gusty west to northwest winds of 19-32 mph sustained and a maximum wind gust of 80 mph were measured by the Indian Wells Canyon RAWS station between 2100 PST and 2230 PST.
High Wind,At 2151 PST US route 395 was closed to high profile vehicles due to high winds.
Hail,
Hail,
Hail,
Hail,
Hail,
Thunderstorm Wind,An area of thunderstorm wind damage was observed from about 5 miles northwest of Roff to about 5 miles north of Roff. Tree damage was noted along this 4 to 5 mile long  path and at least one metal barn sustained significant damage.
Thunderstorm Wind,Powerlines and trees were downed.
Thunderstorm Wind,Winds were estimated at 60-70 mph.
Thunderstorm Wind,No damage was reported.
Flash Flood,An automated USGS gauge recorded a flash flood along Otter Creek at U.S. Hwy 62 near Snyder. Creek level reached 12.2 feet. Flood stage is 11 feet.
Thunderstorm Wind,
Thunderstorm Wind,Sixty powerpoles downed by winds.
High Wind,Gradient winds produced by an exiting low pressure system to the northeast
Winter Weather,A vigorous upper level low pressure system
Winter Weather,Bursts of heavy snow showers with 1-3 inches of snow accumulation. Gusty north winds and reduced visibilities with the snow.
Winter Weather,Bursts of heavy snow showers with 1-3 inches of snow accumulation. Gusty north winds and reduced visibilities with the snow.
Hail,Golfball size hail was reported in Battiest.
Hail,A photo was posted on the KLTV Facebook page of golfball size hail that fell in the Diana community.
Hail,A storm spotter reported quarter size hail west of Girard. No damage was reported.
Hail,Golf ball size hail fell at a golf course near Pomeroy.
Hail,
Hail,Several reports of large hail and gusty winds were received from Lincoln. The hail size ranged from nickel size to ping pong ball.
Hail,
Thunderstorm Wind,Several trees and large tree limbs were downed on Schonowee Avenue in Scotia due to thunderstorm winds.
